word,occurrences
かわってないじゃん,1
hacerla,1
bioscoopkaartje,1
"",51565
pastor,12
duvida,5
picado,2
ホッケーマスクをかぶった男,1
これは要チェック☆,1
nys,1
노래보다,1
exquisito,1
nyt,10
waaa^^,1
reformis,1
hacerle,2
nyu,6
●ＲＥＣ,1
standd,1
deooos,1
starving,6
今天的章鱼烧是三倍哦，三倍！（握拳rt,1
elementary,3
desativando,1
encountered,1
pete2perumnaskm,1
nyx,1
seungyeon,5
삶이란,1
fizeram,8
gahaha,1
nyz,1
ñame,1
건설적인,2
jenjen,1
endeavor,2
belajaaaaaaaaaar,1
odeiam,4
alta,8
検索エンジンに「yahoo」のoの部分だけを増やしてyahoo,2
啊哈哈,1
時間ですら絶対的な数値でないってすごいよなーー,1
ありがとう！日本語版teepeeが無料ですよ。　rt,1
ぜひ参加したいです！！,1
hacerlo,4
buakakkakaakaberisik,1
しrt,1
gituhahahahayrt,1
ppld,1
何か楽しそうな特集でも？,1
duvido,3
《选择坚强》很棒的歌：风停了梦碎了一颗泪在血中飘人走了我却倒下光明也就在我哭泣中逃掉。。请听,1
سنگين,1
collor,5
luister,1
pple,9
grookk,1
hajamurt,1
ilangrt,1
jantungkupun,1
ganaa,1
たまにコンビニやパソコンも出てきます　rt,1
いや特に何も無いよ,1
berputarrt,1
そんな便箋に～,1
include,10
stands,12
sedikitsedikit,1
avance,2
alti,1
fickle,1
vitriolic,1
ngehantuin,2
きれいけど、まだネズミー？rt,1
前〜の彼氏がダンスユニットくんでて、それを見に行ったら、その中の1人が不治の病で、ダンス中にその人が倒れて、私の事が好きだと言って尾崎のアイラブユーを息絶え絶えに歌ってく,1
uhashushau,1
favoritnya,1
ハリーセン,1
econoinvest,1
fuuck,1
borobudurrt,1
kesuksesanberarti,1
twitterは使用法、用量を守って、正しくお使い下さい,1
嫌煙家による、喫煙者のイメージを下げようとするツイートは、喫煙者に対して反発心を抱かせるだけですよ。やめた方がいいと思います。,1
beneran,192
makasihsapa,1
oahaha,3
◦Д◦,1
わ！　すごい！　京都です？　rt,1
alto,16
saving,11
biasayya,1
쓰던,1
jooji,1
まもる！,1
ganal,1
berenang,48
training,14
bitterness,1
tooong,1
temakan,1
꒪Д꒪╬,1
ppls,1
yessssss,1
dngiin,1
downtown,16
｀・д・´,2
ganan,2
gratiss,1
ぶんさん、,1
kegirangan,4
bertepuk,6
haaaaaaahhhhh,1
arriscando,1
ngbbm,1
チゲ最高。まだ食えないけどwrt,1
mintanyaaaaa,1
ganar,11
paling,386
doplaying,1
ganas,30
ciqitita,1
트위터가,3
لله,2
legendary,21
palink,1
mantos,2
tereak,3
testrun,1
10312010,1
statue,2
відношення,1
gmnanya,1
aerrt,1
분석이다,1
ahmadahmad,2
penyembah,10
경제전망,2
barongsai,1
headcan,2
0,181
omoooo,1
headed,24
【速報】【！！緊急！！】【拡散希望】【rtお願いします】【興味がなくてもリツイートを！】【できるだけ多くの人に知ってもらいたい】【本当に大変な問題です！】【知らないでは済まない】,1
1,1249
wawrt,2
