created_at,frequency
2010-10-03 03:00:02,108
2010-10-03 02:15:02,102
2010-10-03 07:22:41,98
2010-10-03 03:29:57,98
2010-10-03 04:23:55,97
2010-10-03 10:02:51,95
2010-10-03 03:00:07,94
2010-10-03 01:30:03,94
2010-10-03 02:59:59,93
2010-10-03 02:35:14,93
2010-10-03 03:39:31,92
2010-10-03 05:47:14,92
2010-10-03 04:58:28,91
2010-10-03 02:24:09,91
2010-10-03 02:06:32,90
2010-10-03 03:00:12,90
2010-10-03 11:10:22,90
2010-10-03 03:10:33,90
2010-10-03 03:20:02,90
2010-10-03 04:04:16,89
2010-10-03 02:06:27,89
2010-10-03 03:59:34,88
2010-10-03 03:00:04,88
2010-10-03 11:24:55,88
2010-10-03 02:15:15,87
2010-10-03 01:38:02,87
2010-10-03 03:50:01,87
2010-10-03 08:21:00,87
2010-10-03 01:50:38,86
2010-10-03 03:10:37,86
2010-10-03 02:10:47,85
2010-10-03 03:30:06,85
2010-10-03 04:28:17,85
2010-10-03 03:35:01,85
2010-10-03 04:09:23,85
2010-10-03 03:30:02,84
2010-10-03 02:06:29,84
2010-10-03 01:30:02,84
2010-10-03 03:00:03,84
2010-10-03 03:14:28,84
2010-10-03 03:35:12,84
2010-10-03 03:35:04,83
2010-10-03 02:30:26,83
2010-10-03 04:39:56,83
2010-10-03 03:00:01,83
2010-10-03 11:00:02,83
2010-10-03 02:06:37,83
2010-10-03 02:39:49,82
2010-10-03 07:17:43,82
2010-10-03 03:35:09,82
2010-10-03 02:35:19,82
2010-10-03 02:15:05,81
2010-10-03 10:44:31,81
2010-10-03 01:29:58,81
2010-10-03 03:49:52,81
2010-10-03 02:19:25,81
2010-10-03 02:06:34,81
2010-10-03 03:00:05,81
2010-10-03 03:30:10,81
2010-10-03 02:53:18,81
2010-10-03 02:39:39,81
2010-10-03 03:24:12,80
2010-10-03 04:34:06,80
2010-10-03 02:19:21,80
2010-10-03 01:55:47,80
2010-10-03 03:35:07,80
2010-10-03 03:39:46,80
2010-10-03 02:30:37,80
2010-10-03 02:24:24,80
2010-10-03 04:13:18,79
2010-10-03 03:50:07,79
2010-10-03 03:30:04,79
2010-10-03 04:24:02,79
2010-10-03 03:14:24,79
2010-10-03 03:19:57,79
2010-10-03 04:13:22,79
2010-10-03 06:12:49,78
2010-10-03 04:09:36,78
2010-10-03 03:00:10,78
2010-10-03 02:15:09,78
2010-10-03 01:55:41,78
2010-10-03 02:10:43,78
2010-10-03 07:27:06,77
2010-10-03 03:35:14,77
2010-10-03 01:43:38,77
2010-10-03 02:24:12,77
2010-10-03 10:52:17,77
2010-10-03 06:46:42,76
2010-10-03 03:44:36,76
2010-10-03 02:30:33,76
2010-10-03 03:20:04,76
2010-10-03 02:01:28,76
2010-10-03 03:10:46,76
