frequency,source
30616,"<a href=""http://www.ubertwitter.com/bb/download.php"" rel=""nofollow"">ÜberTwitter</a>"
29906,web
6663,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"
6004,"<a href=""http://m.tweete.net"" rel=""nofollow"">m.tweete.net</a>"
5796,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"
4956,"<a href=""http://www.snaptu.com"" rel=""nofollow"">Snaptu.com</a>"
4328,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>"
3492,"<a href=""http://twitter.com/"" rel=""nofollow"">Twitter for iPhone</a>"
2503,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">mobile web</a>"
2122,"<a href=""http://twipple.jp/"" rel=""nofollow"">ついっぷる/twipple</a>"
1593,"<a href=""http://www.nibirutech.com"" rel=""nofollow"">TwitBird</a>"
1522,"<a href=""http://www.movatwi.jp"" rel=""nofollow"">www.movatwi.jp</a>"
1417,"<a href=""http://m.dabr.co.uk"" rel=""nofollow"">Dabr</a>"
1220,"<a href=""http://sourceforge.jp/projects/tween/wiki/FrontPage"" rel=""nofollow"">Tween</a>"
1072,"<a href=""http://perha.ps/"" rel=""nofollow"">Perhaps</a>"
983,"<a href=""http://m.tuitwit.com"" rel=""nofollow"">Tuitwit</a>"
980,"<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>"
841,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
840,"<a href=""http://tinyurl.com/tweetcaster"" rel=""nofollow"">TweetCaster</a>"
804,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>"
724,"<a href=""http://www.twitscoop.com"" rel=""nofollow"">Twitscoop</a>"
573,"<a href=""http://www.tweetwawa.com"" rel=""nofollow"">Tweetwawa</a>"
543,"<a href=""http://yubitter.com/"" rel=""nofollow"">yubitter</a>"
517,"<a href=""http://iTweet.net"" rel=""nofollow"">iTweet.net</a>"
485,"<a href=""http://www.twitiq.com"" rel=""nofollow"">TwitIQ</a>"
465,"<a href=""http://www.osfoora.com"" rel=""nofollow"">Osfoora for iPhone</a>"
415,"<a href=""http://dev.twitter.com/"" rel=""nofollow"">API</a>"
414,"<a href=""http://twtkr.com"" rel=""nofollow"">twtkr</a>"
401,"<a href=""http://stone.com/Twittelator"" rel=""nofollow"">Twittelator</a>"
386,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Twitter for Android</a>"
381,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>"
369,"<a href=""/devices"" rel=""nofollow"">txt</a>"
354,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>"
341,"<a href=""http://levelupstudio.com"" rel=""nofollow"">Touiteur</a>"
335,"<a href=""http://jigtwi.jp/?p=1"" rel=""nofollow"">jigtwi</a>"
284,"<a href=""http://projects.playwell.jp/go/Saezuri"" rel=""nofollow"">Saezuri</a>"
280,"<a href=""http://www.movatwi.jp"" rel=""nofollow"">モバツイ</a>"
263,"<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>"
220,"<a href=""http://pavo.me"" rel=""nofollow"">PavoMe</a>"
198,"<a href=""http://www.flight.co.jp/iPhone/TweetMe/"" rel=""nofollow"">TweetMe for iPhone</a>"
174,"<a href=""http://twitter.abifathir.com"" rel=""nofollow"">Bukan BlackBerry®</a>"
157,"<a href=""http://sites.google.com/site/yorufukurou/"" rel=""nofollow"">YoruFukurou</a>"
146,"<a href=""http://www.crouto.com/teewee"" rel=""nofollow"">Teewee</a>"
145,"<a href=""http://twtr.jp"" rel=""nofollow"">Keitai Web</a>"
138,"<a href=""http://itunes.apple.com/app/twitter/id333903271?mt=8"" rel=""nofollow"">Twitter for iPad</a>"
