followers_count,frequency
49,30
106,27
97,27
68,27
19,26
48,25
58,25
85,25
95,24
31,24
78,23
93,23
72,23
34,23
51,22
18,22
69,22
103,21
92,20
75,20
169,20
64,20
45,20
55,20
166,20
80,20
120,20
138,20
63,19
144,19
143,19
84,19
134,19
111,19
104,19
87,19
74,19
52,18
119,18
77,18
114,18
137,18
102,18
32,18
98,18
82,17
57,17
76,17
50,17
151,17
142,17
70,17
136,17
139,17
113,17
66,16
60,16
24,16
38,16
42,16
43,16
83,16
59,16
96,16
26,16
128,16
118,16
172,15
21,15
133,15
105,15
73,15
192,15
117,15
115,15
140,15
125,15
131,15
135,15
99,15
107,15
167,15
150,15
91,15
130,15
181,15
153,14
28,14
27,14
161,14
61,14
30,14
20,14
160,14
88,14
67,14
86,14
25,14
141,14
54,14
124,14
46,14
203,14
16,14
157,13
200,13
41,13
149,13
40,13
15,13
35,13
188,13
108,13
122,13
158,13
132,13
79,13
116,13
100,13
129,13
36,13
89,13
65,13
185,12
180,12
109,12
164,12
205,12
23,12
171,12
123,12
310,12
71,12
325,12
17,12
39,12
90,11
112,11
176,11
174,11
231,11
156,11
53,11
163,11
217,11
13,11
10,11
148,11
182,11
101,11
47,11
37,11
62,11
234,11
221,11
11,11
110,11
162,11
194,11
256,10
228,10
272,10
152,10
178,10
208,10
198,10
225,10
126,10
165,10
44,10
183,10
222,10
94,10
230,10
212,9
251,9
195,9
146,9
210,9
145,9
219,9
224,9
173,9
9,9
242,9
214,9
191,9
190,9
273,9
22,9
207,9
244,9
245,9
260,9
81,9
170,8
196,8
175,8
278,8
289,8
270,8
298,8
127,8
235,8
261,8
233,8
257,8
315,8
204,8
236,8
287,8
56,8
206,8
215,8
347,8
168,8
229,8
179,7
320,7
361,7
147,7
319,7
154,7
12,7
291,7
121,7
250,7
184,7
227,7
186,7
249,7
530,7
220,7
311,7
211,7
209,7
33,7
213,7
177,6
226,6
297,6
269,6
232,6
321,6
299,6
329,6
255,6
193,6
305,6
488,6
246,6
380,6
159,6
238,6
281,6
280,6
404,6
264,6
309,6
262,6
197,6
268,6
155,6
258,6
252,6
223,6
511,5
433,5
316,5
356,5
331,5
202,5
327,5
369,5
7,5
276,5
337,5
282,5
248,5
199,5
520,5
6,5
243,5
8,5
279,5
218,5
365,5
239,5
29,5
366,5
318,5
275,5
300,5
259,5
247,5
334,4
494,4
414,4
274,4
5,4
241,4
265,4
529,4
14,4
403,4
216,4
285,4
449,4
368,4
464,4
189,4
323,4
474,4
459,4
379,4
374,4
411,4
354,4
462,4
630,4
631,4
495,4
386,4
377,4
343,4
412,4
314,4
301,4
254,4
253,4
1091,4
437,4
381,4
284,4
335,4
427,4
385,4
423,4
357,4
338,4
553,4
548,4
436,4
499,4
453,4
420,4
333,4
378,4
454,4
341,4
307,4
541,3
405,3
332,3
394,3
650,3
661,3
384,3
575,3
317,3
303,3
290,3
407,3
559,3
3,3
461,3
542,3
304,3
428,3
439,3
483,3
240,3
1,3
585,3
398,3
418,3
693,3
651,3
330,3
692,3
516,3
266,3
593,3
4,3
447,3
348,3
283,3
705,3
349,3
432,3
469,3
534,3
426,3
460,3
392,3
352,3
481,3
1177,3
393,3
859,3
440,3
324,3
364,3
628,3
606,3
187,3
540,3
277,3
237,3
339,3
362,3
408,3
485,3
685,3
345,3
328,3
472,3
346,3
293,3
524,3
397,3
605,3
295,3
0,3
515,3
342,3
1042,2
604,2
778,2
503,2
496,2
838,2
840,2
201,2
759,2
497,2
736,2
827,2
527,2
664,2
749,2
399,2
358,2
707,2
861,2
2,2
466,2
671,2
450,2
452,2
537,2
583,2
390,2
814,2
713,2
1285,2
680,2
302,2
1491,2
670,2
779,2
668,2
539,2
614,2
441,2
1069,2
608,2
490,2
419,2
828,2
771,2
761,2
836,2
486,2
897,2
1749,2
1627,2
446,2
416,2
711,2
1134,2
1089,2
401,2
400,2
3588,2
682,2
1296,2
373,2
413,2
470,2
961,2
1485,2
760,2
812,2
410,2
586,2
702,2
477,2
372,2
726,2
326,2
601,2
438,2
417,2
866,2
1281,2
1175,2
409,2
505,2
1818,2
509,2
762,2
487,2
296,2
582,2
627,2
635,2
531,2
484,2
376,2
851,2
1166,2
371,2
271,2
312,2
306,2
718,2
1826,2
294,2
587,2
340,2
561,2
1019,2
351,2
730,2
725,2
550,2
753,2
444,2
1029,2
676,2
734,2
421,2
533,2
344,2
313,2
1308,2
402,2
654,2
522,2
292,2
370,2
1109,2
696,2
1058,2
445,2
500,2
406,2
743,2
1150,2
2135,2
525,2
871,2
535,2
596,2
355,2
475,2
962,2
1061,2
502,2
353,2
389,2
1001,2
543,2
1081,2
570,2
1046,2
523,1
13751,1
2687,1
1324,1
577,1
2286,1
1500,1
1118,1
4609,1
2008,1
1447,1
576,1
1597,1
3109,1
1244,1
688,1
24112,1
5349,1
21597,1
11332,1
3364,1
569,1
2380,1
1050,1
1207,1
383,1
844,1
2291,1
8107,1
855,1
908,1
1526,1
2827,1
2627,1
622,1
479,1
917,1
1832,1
3584,1
1405,1
2109,1
2321,1
1542,1
951,1
1460,1
1203,1
7564,1
626,1
429,1
788,1
2484,1
501,1
22043,1
1107,1
1105,1
512,1
1854,1
953,1
2884,1
2054,1
709,1
653,1
1873,1
1680,1
1016,1
1429,1
1508,1
882,1
1209,1
1051,1
13161,1
1082,1
1951,1
288,1
914,1
1144,1
5861,1
2476,1
1418,1
966,1
2536,1
1085,1
703,1
1611,1
612,1
811,1
22502,1
4360,1
443,1
1706,1
3289,1
54130,1
1012,1
1715,1
2533,1
1155,1
482,1
11512,1
4827,1
2729,1
1695,1
901,1
10441,1
2507,1
4010,1
710,1
2589,1
794,1
701,1
1887,1
864,1
1056,1
1846,1
809,1
1060,1
656,1
2112,1
886,1
1117,1
1439,1
574,1
1609,1
1745,1
941,1
1425,1
571,1
10696,1
748,1
1698,1
802,1
4374,1
1914,1
24079,1
1356,1
2126,1
4132,1
1489,1
1072,1
2521,1
644,1
1604,1
1448,1
1451,1
578,1
6724,1
6504,1
528,1
599,1
468,1
1104,1
1726,1
493,1
38445,1
11073,1
1881,1
7978,1
590,1
998,1
6541,1
13188,1
1330,1
32855,1
63451,1
489,1
5509,1
1841,1
2954,1
2113,1
1147,1
1403,1
1467,1
11770,1
819,1
557,1
1110,1
2288,1
3043,1
722,1
865,1
3961,1
995,1
1784,1
992,1
19683,1
906,1
624,1
3036,1
1248,1
1038,1
954,1
1176,1
1152,1
544,1
2105,1
2365,1
694,1
5047,1
455,1
451,1
458,1
1076,1
904,1
3676,1
1765,1
662,1
999,1
1537,1
1059,1
5311,1
508,1
1678,1
1390,1
16279,1
1371,1
1165,1
625,1
1302,1
20085,1
867,1
815,1
1540,1
498,1
4476,1
388,1
869,1
620,1
1933,1
478,1
983,1
1286,1
580,1
768,1
1789,1
783,1
918,1
1202,1
810,1
6287,1
6238,1
738,1
640,1
639,1
646,1
758,1
1077,1
2700,1
891,1
2116,1
1071,1
675,1
3375,1
27944,1
750,1
491,1
15751,1
4306,1
3400,1
1017,1
2429,1
1442,1
3824,1
11791,1
2261,1
1514,1
492,1
554,1
2073,1
573,1
1247,1
2886,1
609,1
848,1
8919,1
14768,1
1716,1
634,1
1145,1
1947,1
4598,1
798,1
1086,1
2612,1
1307,1
1139,1
2294,1
1326,1
723,1
336,1
804,1
1048,1
1221,1
4289,1
1011,1
958,1
7072,1
1065,1
1723,1
924,1
4582,1
1798,1
57323,1
8316,1
2404,1
681,1
1806,1
957,1
2750,1
2912,1
1014,1
2368,1
1137,1
37669,1
2186,1
1838,1
1532,1
9099,1
480,1
695,1
2668,1
1520,1
1279,1
1781,1
970,1
1074,1
1153,1
610,1
1676,1
2024,1
1239,1
568,1
286,1
1509,1
2060,1
1162,1
2048,1
655,1
5592,1
597,1
19121,1
607,1
796,1
3047,1
2136,1
807,1
467,1
766,1
813,1
1219,1
667,1
32783,1
652,1
1820,1
2058,1
637,1
360,1
5483,1
686,1
551,1
350,1
526,1
1780,1
1750,1
2119,1
837,1
896,1
18710,1
1556,1
2227,1
521,1
566,1
689,1
3519,1
1220,1
1619,1
5416,1
780,1
14156,1
1271,1
2863,1
673,1
1183,1
21922,1
359,1
777,1
1515,1
28369,1
663,1
1303,1
1711,1
322,1
20255,1
2254,1
1774,1
786,1
898,1
1174,1
817,1
564,1
134150,1
1196,1
22658,1
567,1
431,1
769,1
980,1
4999,1
4339,1
2643,1
1702,1
5302,1
588,1
558,1
1993,1
552,1
20671,1
876,1
2274,1
842,1
3331,1
4226,1
1127,1
3767,1
1226,1
594,1
10382,1
435,1
4857,1
4811,1
1321,1
375,1
619,1
463,1
6195,1
677,1
8275,1
1295,1
1519,1
549,1
3781,1
2685,1
975,1
903,1
1052,1
92339,1
11504,1
11773,1
1186,1
415,1
122914,1
363,1
1280,1
2921,1
618,1
3731,1
572,1
1650,1
5360,1
1238,1
1160,1
1450,1
853,1
873,1
2760,1
2575,1
1474,1
5475,1
1815,1
562,1
7685,1
396,1
589,1
532,1
3077,1
720,1
997,1
935,1
965,1
3531,1
1866,1
1367,1
912,1
806,1
847,1
473,1
888,1
263,1
839,1
448,1
536,1
1550,1
2607,1
5529,1
936,1
1552,1
9138,1
638,1
643,1
517,1
600,1
784,1
1293,1
4699,1
2307,1
581,1
391,1
993,1
424,1
645,1
3099,1
1135,1
1129,1
2012,1
1266,1
1504,1
456,1
1591,1
700,1
