time_zone,frequency
,1110
Pacific Time (US & Canada),1058
Tokyo,838
Jakarta,361
Hawaii,277
Quito,179
Santiago,177
Central Time (US & Canada),139
Brasilia,135
Eastern Time (US & Canada),117
Osaka,101
Alaska,86
Seoul,77
Greenland,74
Caracas,57
London,41
Amsterdam,35
Singapore,32
Mexico City,30
Bangkok,24
Kuala Lumpur,23
Mountain Time (US & Canada),20
Buenos Aires,20
Beijing,19
Sapporo,14
Hong Kong,14
Berlin,12
Sydney,11
Paris,10
Madrid,9
Melbourne,7
New Delhi,5
Stockholm,5
Lima,5
International Date Line West,5
Brisbane,5
Atlantic Time (Canada),4
Arizona,4
Bogota,4
Guadalajara,4
Chennai,3
Central America,3
Taipei,3
Kolkata,3
Mumbai,3
Moscow,3
Auckland,3
Rome,3
Wellington,2
Istanbul,2
Abu Dhabi,2
Islamabad,2
Warsaw,2
Riyadh,2
Copenhagen,2
Cairo,2
Dublin,2
Sofia,2
Kyiv,2
La Paz,2
Canberra,2
Lisbon,2
Pretoria,2
Tijuana,2
Chihuahua,2
Edinburgh,2
Yakutsk,2
Ljubljana,1
Hobart,1
Vienna,1
Athens,1
Budapest,1
Adelaide,1
Hanoi,1
Azores,1
West Central Africa,1
Monterrey,1
Jerusalem,1
Bern,1
Brussels,1
Tbilisi,1
Prague,1
Krasnoyarsk,1
Riga,1
Harare,1
Darwin,1
Mazatlan,1
Vladivostok,1
