favourites_count,frequency
0,1467
1,527
2,325
3,190
4,150
6,120
5,119
8,89
7,88
11,62
10,58
9,58
12,55
16,42
15,39
14,37
13,34
17,31
18,30
22,25
21,24
20,24
23,23
29,22
19,21
35,19
31,19
26,16
45,16
24,16
28,15
40,14
38,14
27,13
25,13
33,12
39,12
32,11
43,11
54,10
30,10
68,9
44,9
37,9
49,9
85,9
50,9
63,9
36,9
42,8
53,8
70,8
52,7
57,6
69,6
34,6
65,6
94,6
95,6
78,6
46,6
80,6
59,6
56,6
98,6
72,5
41,5
115,5
91,5
58,5
88,5
55,5
109,5
76,5
74,5
48,5
158,4
61,4
121,4
64,4
92,4
51,4
153,4
113,4
73,4
252,3
105,3
305,3
77,3
75,3
296,3
100,3
87,3
66,3
243,3
89,3
97,3
134,3
157,3
140,3
112,3
122,3
90,3
155,3
47,3
340,3
205,3
60,3
71,3
317,2
84,2
107,2
299,2
177,2
130,2
274,2
364,2
81,2
270,2
144,2
154,2
378,2
212,2
132,2
126,2
160,2
202,2
211,2
125,2
197,2
215,2
335,2
137,2
333,2
101,2
148,2
262,2
118,2
1076,2
194,2
329,2
249,2
344,2
225,2
248,2
510,2
110,2
189,2
139,2
131,2
67,2
145,2
135,2
267,2
62,2
181,2
133,2
167,2
162,2
179,2
159,2
287,1
108,1
518,1
442,1
1667,1
168,1
458,1
187,1
106,1
1433,1
204,1
649,1
99,1
679,1
170,1
236,1
528,1
493,1
581,1
3084,1
998,1
634,1
3787,1
406,1
576,1
629,1
338,1
326,1
1087,1
96,1
163,1
173,1
82,1
316,1
2145,1
488,1
1208,1
869,1
146,1
229,1
83,1
5916,1
543,1
156,1
117,1
1010,1
1008,1
591,1
899,1
1375,1
789,1
1027,1
164,1
2633,1
214,1
217,1
256,1
2273,1
5102,1
297,1
169,1
261,1
739,1
560,1
858,1
357,1
433,1
123,1
763,1
435,1
449,1
233,1
253,1
367,1
324,1
3451,1
366,1
531,1
1258,1
356,1
301,1
136,1
271,1
462,1
323,1
276,1
742,1
355,1
492,1
2753,1
1717,1
241,1
2454,1
2947,1
292,1
290,1
473,1
311,1
644,1
10564,1
1964,1
138,1
178,1
782,1
232,1
683,1
264,1
119,1
1831,1
176,1
1570,1
201,1
183,1
244,1
294,1
396,1
3298,1
1035,1
568,1
662,1
407,1
361,1
601,1
120,1
28706,1
1097,1
235,1
2282,1
128,1
269,1
3980,1
21853,1
103,1
328,1
7182,1
149,1
409,1
1245,1
651,1
240,1
124,1
263,1
219,1
497,1
517,1
25573,1
624,1
570,1
320,1
258,1
193,1
1683,1
171,1
460,1
11736,1
114,1
129,1
268,1
4203,1
151,1
180,1
569,1
1150,1
200,1
3570,1
237,1
