frequency,statuses_count
6,1
5,116
5,473
5,626
5,416
5,425
5,585
5,68
5,678
5,114
5,592
5,93
5,477
5,455
5,48
5,206
4,121
4,443
4,807
4,300
4,126
4,13
4,331
4,185
4,173
4,458
4,951
4,289
4,957
4,136
4,119
4,317
4,496
4,69
4,24
4,252
4,1278
4,377
4,313
4,1171
4,278
4,199
4,855
4,302
4,194
4,184
4,397
4,983
4,462
4,649
4,404
4,1012
4,1742
4,1042
4,34
4,14
4,1022
4,207
4,314
4,342
3,828
3,3464
3,1574
3,335
3,63
3,78
3,4879
3,2792
3,158
3,1147
3,2284
3,2188
3,1039
3,47
3,438
3,911
3,588
3,591
3,4
3,826
3,1024
3,73
3,406
3,1088
3,43
3,656
3,3753
3,1470
3,2739
3,1586
3,242
3,977
3,1129
3,567
3,3099
3,11
3,1697
3,225
3,1903
3,485
3,1172
3,109
3,1009
3,414
3,8
3,192
3,118
3,12
3,852
3,452
3,932
3,2326
3,231
3,3117
3,75
3,299
3,26
3,1013
3,1612
3,41
3,4198
3,877
3,483
3,541
3,924
3,188
3,62
3,159
3,989
3,925
3,5914
3,889
3,3961
3,409
3,30
3,559
3,1281
3,746
3,526
3,4771
3,671
3,54
3,77
3,1263
3,736
3,1401
3,332
3,586
3,793
3,1130
3,571
3,590
3,1580
3,53
3,1280
3,223
3,493
3,1482
3,740
3,854
3,2540
3,2644
3,244
3,2
3,518
3,1936
3,2132
3,10263
3,469
3,1471
3,259
3,170
3,253
3,351
3,161
3,792
3,33
3,2633
3,1526
3,705
3,2861
3,37
3,558
3,669
3,330
3,251
3,181
3,3404
3,115
3,5468
3,238
3,841
3,3752
3,74
3,100
3,175
3,419
3,550
3,21
3,9104
3,131
3,537
3,806
3,147
3,933
3,1982
3,1205
3,1656
3,639
3,294
3,5
3,1560
3,257
3,224
3,633
3,1069
3,366
3,157
3,899
3,3072
3,879
3,3136
3,106
3,1051
3,978
3,803
3,557
3,840
3,107
3,58
3,602
3,1402
3,4066
3,1724
3,1419
3,1949
3,1368
3,105
2,112
2,4515
2,318
2,6496
2,92
2,372
2,230
2,6694
2,292
2,2180
2,6030
2,2062
2,1225
2,387
2,29
2,836
2,1106
2,189
2,1681
2,745
2,919
2,4847
2,2098
2,6325
2,1650
2,1095
2,2008
2,405
2,4555
2,2007
2,5293
2,763
2,2086
2,1425
2,4823
2,4240
2,81
2,3964
2,5385
2,2327
