frequency,friends_count
28,90
28,50
27,65
25,78
25,57
24,126
23,68
23,45
23,39
23,93
23,83
23,52
23,86
23,41
22,110
22,37
22,99
22,48
21,81
21,61
20,46
20,82
20,98
20,23
20,131
19,51
19,138
19,71
19,80
19,49
19,66
19,40
19,63
19,53
19,73
19,56
19,84
18,36
18,89
18,120
18,54
18,29
18,59
18,47
18,72
18,60
18,109
18,102
18,88
18,116
17,96
17,121
17,104
17,117
17,133
17,132
17,30
17,114
17,24
17,146
16,101
16,76
16,32
16,38
16,91
16,113
16,130
16,77
16,16
16,70
16,19
16,85
16,87
16,107
16,112
15,95
15,149
15,34
15,79
15,165
15,44
15,92
15,15
15,106
14,111
14,74
14,103
14,33
14,127
14,67
14,134
14,42
14,105
14,55
14,58
13,129
13,186
13,185
13,143
13,27
13,97
13,43
13,122
13,62
13,100
13,2001
13,123
13,125
13,142
13,128
13,64
13,69
12,12
12,118
12,140
12,26
12,108
12,155
12,135
12,183
11,191
11,154
11,119
11,176
11,205
11,162
11,161
11,151
11,181
11,144
11,13
10,178
10,18
10,199
10,139
10,14
10,157
10,137
10,1
10,35
10,0
10,136
10,195
10,158
10,163
10,164
10,156
9,22
9,20
9,187
9,31
9,145
9,148
9,167
9,173
9,11
9,203
9,94
9,207
8,168
8,179
8,25
8,172
8,4
8,216
8,201
8,147
8,365
8,192
8,21
8,17
8,159
8,220
8,2
8,6
8,170
8,5
8,115
8,28
8,150
8,232
7,75
7,261
7,180
7,231
7,166
7,175
7,10
7,226
7,196
7,212
7,264
7,193
7,202
7,246
6,228
6,177
6,255
6,160
6,184
6,247
6,152
6,389
6,229
6,9
6,189
6,266
6,190
6,194
6,273
6,209
5,240
5,1999
5,269
5,272
5,222
5,171
5,7
5,219
5,153
5,287
5,319
5,351
5,217
5,215
5,241
5,233
5,252
5,188
5,223
5,295
5,331
5,279
5,313
5,197
5,182
5,333
5,314
5,169
5,243
5,141
5,280
5,236
5,344
5,124
5,281
5,230
5,263
5,250
4,285
4,200
4,290
4,242
4,506
4,174
4,327
4,3
4,369
4,221
4,198
4,353
4,438
4,2000
4,500
4,303
4,213
4,258
4,855
4,270
4,244
4,334
4,265
4,381
4,271
4,214
4,321
4,297
4,225
4,249
4,8
4,499
3,298
3,583
3,541
3,659
3,277
3,423
3,267
3,227
3,417
3,301
3,430
3,493
3,274
3,235
3,337
3,286
3,551
3,253
3,653
3,276
3,251
3,296
3,324
3,210
3,260
3,224
3,527
3,316
3,304
3,299
3,248
3,360
3,448
3,838
3,282
3,489
3,348
3,211
3,268
3,395
3,704
3,722
3,325
3,426
3,204
3,291
3,305
3,317
3,715
3,406
3,238
2,1916
2,445
2,861
2,460
2,827
2,306
2,640
2,687
2,770
2,311
2,332
2,429
2,791
2,526
2,465
2,441
2,754
2,418
2,459
2,481
2,308
2,877
2,345
2,400
2,705
2,1873
2,523
2,383
2,668
2,936
2,390
2,488
2,278
2,367
2,766
2,1094
2,820
2,374
2,927
2,1419
2,370
2,775
2,738
2,415
2,808
2,354
2,421
2,589
2,805
2,504
2,812
2,293
2,320
2,257
2,245
2,505
2,552
2,444
2,1043
2,1078
2,485
2,432
2,424
2,537
2,996
2,1700
2,234
2,1122
2,617
2,218
2,302
2,471
2,457
2,1047
2,350
2,450
2,1050
2,707
2,1995
2,530
2,478
2,254
2,492
2,399
2,376
2,355
2,513
2,422
2,585
2,604
2,473
2,797
2,425
2,335
2,555
2,259
2,741
2,696
2,1016
2,377
2,262
2,906
2,440
2,925
2,408
2,480
2,905
2,1660
2,380
2,512
1,310
1,1994
1,1968
1,866
1,756
1,1108
1,746
1,1357
1,1970
1,1210
1,1234
1,1669
1,1808
1,476
1,1086
1,700
1,309
1,565
1,639
1,556
1,1203
1,4515
1,839
1,1878
1,599
1,17061
1,631
1,2398
1,479
1,595
1,1639
1,788
1,1329
1,275
1,748
1,338
1,965
1,667
1,2469
1,2445
1,553
1,761
1,1986
1,697
1,1404
1,17934
1,678
1,462
1,944
1,1165
1,1971
1,913
1,452
1,1762
1,971
1,1876
1,4647
1,1414
1,1714
1,4754
1,1039
1,883
1,1219
1,2894
1,361
1,1085
1,1659
1,2423
1,652
1,1380
1,933
1,688
1,561
1,490
1,2161
1,744
1,3715
1,1069
1,13808
1,994
1,947
1,1949
1,1420
1,633
1,8024
1,1738
1,339
1,1152
1,434
1,521
1,826
1,1529
1,4897
1,1111
1,283
1,1518
1,1736
1,760
1,482
1,1820
1,7138
1,1156
1,538
1,1630
1,373
1,456
1,1334
1,4408
1,2117
1,510
1,638
1,545
1,983
1,474
1,336
1,323
1,802
1,1866
1,563
1,2804
1,914
1,2631
1,1837
1,3223
1,2439
1,846
1,878
1,624
1,670
1,10172
1,4188
1,654
1,433
1,46339
1,559
1,547
1,4541
1,4507
1,341
1,629
1,3224
1,2145
1,386
1,564
1,2523
1,960
1,2190
1,708
1,528
1,680
1,727
1,455
1,24607
1,540
1,1692
1,2144
1,818
1,4508
1,1519
1,2782
1,2877
1,915
1,1830
1,1096
1,2250
1,7846
1,811
1,1865
1,940
1,1941
1,2011
1,1010
1,1443
1,763
1,1997
1,1150
1,939
1,3521
1,515
1,777
1,508
1,483
1,1172
1,637
1,3373
1,447
1,4829
1,720
1,1944
1,1323
1,1255
1,1022
1,494
1,674
1,1180
1,597
1,747
1,410
1,717
1,3328
1,443
1,592
1,795
1,289
1,666
1,1214
1,605
1,1756
1,507
1,924
1,844
1,699
1,4940
1,1867
1,1625
1,672
1,4384
1,1743
1,1053
1,1452
1,1077
1,1365
1,750
1,1029
1,1071
1,1373
1,835
1,454
1,322
1,1145
1,2471
1,1328
1,1500
1,498
1,742
1,292
1,288
1,1410
1,683
1,619
1,27530
1,922
1,1147
1,635
1,611
1,833
1,1449
1,902
1,1389
1,1008
1,1376
1,1020
1,1442
1,1229
1,1350
1,4185
1,427
1,1347
1,1289
1,651
1,13078
1,340
1,3534
1,294
1,1543
1,419
1,1396
1,1455
1,577
1,1205
1,793
1,874
1,698
1,3624
1,951
1,503
1,349
1,1503
1,1409
1,8949
1,496
1,1412
1,12456
1,315
1,2975
1,1308
1,1797
1,1697
1,533
1,401
1,627
1,630
1,5081
1,1344
1,398
1,1277
1,890
1,1252
1,682
1,1090
1,461
1,1456
1,834
1,626
1,326
1,5007
1,1883
1,356
1,329
1,616
1,442
1,1275
1,330
1,2979
1,388
1,342
1,1045
1,1748
1,1619
1,1730
1,372
1,1042
1,594
1,3774
1,1856
1,578
1,623
1,869
1,695
1,519
1,412
1,1750
1,796
1,362
1,625
1,889
1,8678
1,420
1,772
1,875
1,542
1,664
1,1321
1,1494
1,789
1,464
1,1849
1,596
1,1368
1,2432
1,1996
1,1473
1,1623
1,1134
1,2926
1,516
1,402
1,765
1,1988
1,579
1,382
1,363
1,981
1,1629
1,5059
1,560
1,6590
1,726
1,658
1,486
1,817
1,1783
1,1051
1,938
1,739
1,467
1,359
1,864
1,757
1,1891
1,375
1,953
1,437
1,1105
1,318
1,842
1,567
1,2305
1,256
1,453
1,1909
1,1843
1,689
1,1950
1,612
1,859
1,2282
1,662
1,550
1,1175
1,888
1,1987
1,1966
1,3002
1,1869
1,1993
1,2027
1,385
1,628
1,470
1,534
1,328
1,1913
1,404
1,1230
1,378
1,732
1,535
1,501
1,646
1,1265
1,387
1,2795
1,5411
1,509
1,543
1,857
1,4927
1,300
1,1292
1,495
1,1600
1,1590
