created_at,frequency
2011-01-07 23:46:55,49
2011-01-07 23:46:48,47
2011-01-07 23:46:30,42
2011-01-07 23:46:37,41
2011-01-07 23:46:51,39
2011-01-07 23:46:24,38
2011-01-07 23:46:25,38
2011-01-07 23:47:02,38
2011-01-07 23:46:53,38
2011-01-07 23:46:26,38
2011-01-07 23:46:54,38
2011-01-07 23:46:56,38
2011-01-07 23:46:49,36
2011-01-07 23:47:08,36
2011-01-07 23:46:59,36
2011-01-07 23:46:42,35
2011-01-07 23:46:57,35
2011-01-07 23:46:52,34
2011-01-07 23:46:35,34
2011-01-07 23:46:36,34
2011-01-07 23:46:38,34
2011-01-07 23:46:39,34
2011-01-07 23:46:45,33
2011-01-07 23:46:31,33
2011-01-07 23:46:41,32
2011-01-07 23:47:05,32
2011-01-07 23:46:33,31
2011-01-07 23:46:44,31
2011-01-07 23:47:07,31
2011-01-07 23:46:58,31
2011-01-07 23:46:40,31
2011-01-07 23:46:46,30
2011-01-07 23:47:00,29
2011-01-07 23:46:34,29
2011-01-07 23:46:28,29
2011-01-07 23:47:09,28
2011-01-07 23:46:43,28
2011-01-07 23:47:01,27
2011-01-07 23:46:27,27
2011-01-07 23:46:29,27
2011-01-07 23:46:32,26
2011-01-07 23:47:03,26
2011-01-07 23:46:47,25
2011-01-07 23:47:06,25
2011-01-07 23:46:50,24
2011-01-07 23:47:04,20
2011-01-07 23:46:23,19
