frequency,source
498,web
216,"<a href=""http://www.ubertwitter.com/bb/download.php"" rel=""nofollow"">ÜberTwitter</a>"
146,"<a href=""http://twitter.com/"" rel=""nofollow"">Twitter for iPhone</a>"
92,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>"
83,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"
72,"<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>"
70,"<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd</a>"
70,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>"
65,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"
46,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Twitter for Android</a>"
45,"<a href=""http://tinyurl.com/tweetcaster"" rel=""nofollow"">TweetCaster</a>"
31,"<a href=""http://levelupstudio.com"" rel=""nofollow"">Plume  </a>"
9,"<a href=""http://www.snaptu.com"" rel=""nofollow"">Snaptu</a>"
7,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>"
6,"<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>"
5,"<a href=""http://stone.com/Twittelator"" rel=""nofollow"">Twittelator</a>"
5,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>"
5,"<a href=""http://www.nibirutech.com"" rel=""nofollow"">TwitBird</a>"
4,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>"
4,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
4,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"
4,"<a href=""http://itunes.apple.com/app/twitter/id333903271?mt=8"" rel=""nofollow"">Twitter for iPad</a>"
4,"<a href=""http://formspring.me"" rel=""nofollow"">Formspring.me</a>"
3,"<a href=""http://www.htc.com"" rel=""nofollow"">  HTC Peep</a>"
3,"<a href=""http://www.htc.com"" rel=""nofollow"">HTC Peep</a>"
3,"<a href=""http://twitcam.com"" rel=""nofollow"">Twitcam.com</a>"
3,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>"
3,"<a href=""http://www.deliciousmorsel.com/app/twee"" rel=""nofollow"">Twee2</a>"
2,"<a href=""http://m.dabr.co.uk"" rel=""nofollow"">Dabr</a>"
2,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"
2,"<a href=""http://www.myyearbook.com/"" rel=""nofollow"">myYearbook Share</a>"
1,"<a href=""http://www.panoramicsoft.com/mobileapps/motweets/moTweets.php"" rel=""nofollow"">Panoramic moTweets</a>"
1,"<a href=""http://www.superinhuman.com/badkitty"" rel=""nofollow"">Bad Kitty</a>"
1,"<a href=""http://www.metrotwit.com/"" rel=""nofollow"">MetroTwit</a>"
1,"<a href=""http://www.lg.com"" rel=""nofollow"">LG Phone</a>"
1,"<a href=""http://twitter.com"" rel=""nofollow"">Tweetie for Mac</a>"
1,"<a href=""http://seesmic.com/seesmic_mobile/wp7/"" rel=""nofollow"">Seesmic for Windows Phone 7</a>"
1,"<a href=""http://www.sakasama.com/dive/index.php?Frother"" rel=""nofollow"">Frother</a>"
1,"<a href=""http://83degrees.com/to/powertwitter"" rel=""nofollow"">Power Twitter</a>"
1,"<a href=""http://developer.palm.com/appredirect/?packageid=com.cyber-nova.wetwitlite"" rel=""nofollow"">weTwit Lite</a>"
1,"<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>"
1,"<a href=""http://m.tweete.net"" rel=""nofollow"">m.tweete.net</a>"
1,"<a href=""http://www.nimbuzz.com"" rel=""nofollow"">Nimbuzz Mobile</a>"
1,"<a href=""http://twittercounter.com"" rel=""nofollow"">The Visitor Widget</a>"
1,"<a href=""http://lockinfo.ashman.com/"" rel=""nofollow"">LockInfo</a>"
1,"<a href=""http://www.verizon.com/fiostv/web/"" rel=""nofollow"">FiOS TV</a>"
1,"<a href=""http://www.jmobileapps.com/"" rel=""nofollow"">Yak Free</a>"
1,"<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>"
1,"<a href=""http://www.osfoora.com"" rel=""nofollow"">Osfoora for iPhone</a>"
1,"<a href=""http://getsocialscope.com"" rel=""nofollow"">SocialScope</a>"
1,"<a href=""http://messaging.nokia.com/site/main.do"" rel=""nofollow""> Ovi by Nokia </a>"
1,"<a href=""http://www.swift-app.com/"" rel=""nofollow"">Swift</a>"
1,"<a href=""http://trillian.im/"" rel=""nofollow"">Trillian</a>"
1,"<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Chromed Bird</a>"
1,"<a href=""http://www.yoono.com"" rel=""nofollow"">yoono</a>"
